iso3,country,date,year,month,re_share_pct,cpu,gpr,epu
CHN,China,2015-01-01,2015,1,16.319,142.4795313206932,111.985694885254,126.9914695841305
CHN,China,2015-02-01,2015,2,16.278,120.3507271137905,111.924697875977,113.9531529387977
CHN,China,2015-03-01,2015,3,19.651,85.09453026611405,104.23526763916,109.9462118228166
CHN,China,2015-04-01,2015,4,20.615,42.58714847303734,102.190490722656,99.39012857675176
CHN,China,2015-05-01,2015,5,21.598,211.1854457874233,76.2623291015625,102.9309373408606
CHN,China,2015-06-01,2015,6,25.802,90.16344685407576,85.9059677124023,117.8447876402595
CHN,China,2015-07-01,2015,7,24.748,86.38858997694594,106.808662414551,121.8661105786334
CHN,China,2015-08-01,2015,8,23.429,85.95421385007883,82.4785308837891,118.5134513975967
CHN,China,2015-09-01,2015,9,27.112,129.2006977808144,98.7674560546875,151.9758949769686
CHN,China,2015-10-01,2015,10,27.043,177.8145642627828,91.931884765625,114.3182639359142
CHN,China,2015-11-01,2015,11,21.046,199.4278782361315,150.715881347656,103.3563470069402
CHN,China,2015-12-01,2015,12,18.071,192.8180716469267,148.236877441406,110.794803787437
CHN,China,2016-01-01,2016,1,20.367,104.5998543485994,118.211143493652,143.2586950749098
CHN,China,2016-02-01,2016,2,20.358,102.2369088006319,103.749649047852,145.4458679026379
CHN,China,2016-03-01,2016,3,21.57,123.8969712153862,109.720291137695,156.8779886900799
CHN,China,2016-04-01,2016,4,24.61,226.2612112623542,85.2214508056641,140.104646137866
CHN,China,2016-05-01,2016,5,27.259,99.7629067805342,88.3324203491211,123.3789873399434
CHN,China,2016-06-01,2016,6,27.344,137.8157681789212,90.1681289672852,227.871561711938
CHN,China,2016-07-01,2016,7,27.458,139.240406860998,114.610450744629,202.245585191248
CHN,China,2016-08-01,2016,8,24.52,169.1610642548068,98.7384872436523,132.6689468896753
CHN,China,2016-09-01,2016,9,24.508,155.5017576072651,104.545227050781,134.3493331418452
CHN,China,2016-10-01,2016,10,25.42,80.53289743840882,85.7477874755859,125.0037144468582
CHN,China,2016-11-01,2016,11,22.764,554.2340759391794,82.9187545776367,226.2798874076489
CHN,China,2016-12-01,2016,12,18.421,351.1231847818375,102.180465698242,183.765426620881
CHN,China,2017-01-01,2017,1,20.173,373.6910509243575,105.201232910156,246.6627270260493
CHN,China,2017-02-01,2017,2,20.129,212.6269868575728,114.206359863281,184.9794048051318
CHN,China,2017-03-01,2017,3,21.168,281.3807864286775,96.6358795166016,233.1203237166254
CHN,China,2017-04-01,2017,4,24.02,303.8349499438502,119.459922790527,174.3372389777142
CHN,China,2017-05-01,2017,5,26.28,281.4606227362563,102.579963684082,142.5064726157698
CHN,China,2017-06-01,2017,6,26.918,388.8914246821411,126.789016723633,169.7192642799219
CHN,China,2017-07-01,2017,7,26.262,288.158485339547,102.813461303711,163.0248778604998
CHN,China,2017-08-01,2017,8,25.293,231.4473417526105,138.531616210938,139.1451898546359
CHN,China,2017-09-01,2017,9,28.203,284.1111906443856,115.534446716309,155.7765952875371
CHN,China,2017-10-01,2017,10,28.875,150.9924183598505,91.4615707397461,143.3069163296352
CHN,China,2017-11-01,2017,11,25.22,302.0409915778268,92.5960159301758,158.2701024658983
CHN,China,2017-12-01,2017,12,20.453,159.5731670150447,82.7182540893555,146.3819354000481
CHN,China,2018-01-01,2018,1,20.594,197.2332525554197,92.4267883300781,175.2021060279184
CHN,China,2018-02-01,2018,2,20.667,165.756366354844,64.4913711547852,124.8549002800213
CHN,China,2018-03-01,2018,3,22.134,208.4785522331171,111.962295532227,179.4383000217713
CHN,China,2018-04-01,2018,4,24.385,285.4034764632481,123.263473510742,163.5202325251872
CHN,China,2018-05-01,2018,5,26.317,272.00716355905,125.666618347168,170.1956675956354
CHN,China,2018-06-01,2018,6,27.193,152.3951405643082,103.968589782715,163.3774136395332
CHN,China,2018-07-01,2018,7,27.391,168.2987229075484,110.028427124023,225.2112241036141
CHN,China,2018-08-01,2018,8,26.217,185.9160590267065,112.741683959961,170.7992631439797
CHN,China,2018-09-01,2018,9,28.637,129.5882397437171,75.0539093017578,191.3522055602523
CHN,China,2018-10-01,2018,10,29.329,208.0067230923123,92.0164794921875,211.9290851186991
CHN,China,2018-11-01,2018,11,24.331,194.8955115904181,80.407585144043,245.6589120883675
CHN,China,2018-12-01,2018,12,20.602,203.8776062576293,90.607666015625,217.810727976404
CHN,China,2019-01-01,2019,1,21.671,296.1897966341996,87.4241027832031,241.4386054458695
CHN,China,2019-02-01,2019,2,21.674,147.8971046631048,96.800163269043,172.6177053460764
CHN,China,2019-03-01,2019,3,25.239,298.9919218365096,82.3282928466797,238.141036655995
CHN,China,2019-04-01,2019,4,26.803,147.0272147995472,79.2534484863281,189.1453854717598
CHN,China,2019-05-01,2019,5,29.873,158.8897253155004,106.471900939941,221.0658956206135
CHN,China,2019-06-01,2019,6,28.793,354.3499065347115,106.588455200195,317.2838632112557
CHN,China,2019-07-01,2019,7,28.642,283.0596286723551,93.5212554931641,247.12883235987
CHN,China,2019-08-01,2019,8,27.189,232.5298322370732,103.404418945313,288.1508155781352
CHN,China,2019-09-01,2019,9,27.636,587.0005895347282,90.3679885864258,235.7919664105233
CHN,China,2019-10-01,2019,10,28.457,261.2441835533486,97.8367309570313,200.7556830197926
CHN,China,2019-11-01,2019,11,24.144,312.2145454632087,73.0783843994141,240.6231555905684
CHN,China,2019-12-01,2019,12,20.351,511.0166266381334,74.2798919677734,230.8054570610568
CHN,China,2020-01-01,2020,1,22.416,305.9690553815524,138.420944213867,190.6193776417902
CHN,China,2020-02-01,2020,2,22.291,264.3640928001201,75.9555587768555,194.8300465540262
CHN,China,2020-03-01,2020,3,27.307,305.1005045177365,81.5400314331055,314.8681227284559
CHN,China,2020-04-01,2020,4,26.225,377.7695471533427,69.3394012451172,325.6010225318462
CHN,China,2020-05-01,2020,5,26.911,245.3517317136611,68.5072174072266,410.4262142500708
CHN,China,2020-06-01,2020,6,29.516,134.2082403879148,71.2278594970703,306.6633607886208
CHN,China,2020-07-01,2020,7,30.883,208.150393039499,66.4732818603516,309.1859907334028
CHN,China,2020-08-01,2020,8,28.621,235.5495910268646,65.4660491943359,285.9878501306554
CHN,China,2020-09-01,2020,9,31.601,247.9645956967325,80.3773803710938,305.5892118331982
CHN,China,2020-10-01,2020,10,33.048,376.0488741894221,76.0831680297852,302.8122753051998
CHN,China,2020-11-01,2020,11,25.166,402.3155554362106,70.0674667358398,392.4145069044777
CHN,China,2020-12-01,2020,12,21.145,511.2711537443506,64.0672912597656,299.1354340286545
CHN,China,2021-01-01,2021,1,24.27,257.0615514640529,77.418701171875,269.3754130446191
CHN,China,2021-02-01,2021,2,24.244,423.27553832849,73.9568023681641,193.1574207178709
CHN,China,2021-03-01,2021,3,24.314,271.0594150576149,78.618766784668,209.9118751662297
CHN,China,2021-04-01,2021,4,27.134,178.4470105066247,88.1662216186523,192.2340414130996
CHN,China,2021-05-01,2021,5,29.99,210.7233503911551,93.0071334838867,171.8639447220719
CHN,China,2021-06-01,2021,6,29.002,361.6580292972939,74.1271209716797,169.3053033853194
CHN,China,2021-07-01,2021,7,29.852,454.490159158827,58.420768737793,187.2889704596169
CHN,China,2021-08-01,2021,8,29.011,209.2305746140933,89.4865493774414,198.8153126196048
CHN,China,2021-09-01,2021,9,31.912,547.6861586784817,80.6969680786133,209.5483578343267
CHN,China,2021-10-01,2021,10,32.08,718.5017959517941,79.0292358398438,185.5985539268678
CHN,China,2021-11-01,2021,11,28.112,916.281523060572,86.5691452026367,227.0843278701796
CHN,China,2021-12-01,2021,12,23.929,532.4487159382658,105.345420837402,255.0693380012374
CHN,China,2022-01-01,2022,1,24.26,517.3933435968448,138.674987792969,219.4861109603128
CHN,China,2022-02-01,2022,2,24.172,215.8836024293797,216.15901184082,174.4845543408962
CHN,China,2022-03-01,2022,3,29.349,445.7135559546776,318.954925537109,294.5109231181771
CHN,China,2022-04-01,2022,4,33.862,411.1465749693597,191.143096923828,266.9203626186811
CHN,China,2022-05-01,2022,5,36.325,517.952851614523,142.258483886719,272.1329145438528
CHN,China,2022-06-01,2022,6,35.662,453.9889857708172,130.707321166992,244.5369243003399
CHN,China,2022-07-01,2022,7,30.787,430.0368447114691,117.176765441895,289.1885328911396
CHN,China,2022-08-01,2022,8,27.515,393.8136113321517,132.863220214844,233.4560832723482
CHN,China,2022-09-01,2022,9,29.281,399.5879396000383,131.985870361328,246.6819600820871
CHN,China,2022-10-01,2022,10,31.928,480.4577871430489,143.162414550781,262.2787518741493
CHN,China,2022-11-01,2022,11,27.717,405.8293377873721,116.716285705566,307.1254001256686
CHN,China,2022-12-01,2022,12,26.033,243.2915296753453,111.195938110352,237.0031936116183
CHN,China,2023-01-01,2023,1,27.482,339.3936005549683,104.267044067383,215.9812392742851
CHN,China,2023-02-01,2023,2,27.353,476.7080986035535,120.99437713623,238.7257361327138
CHN,China,2023-03-01,2023,3,28.057,327.8977366306982,105.379974365234,309.7451788338569
CHN,China,2023-04-01,2023,4,31.778,364.4916231642655,106.80965423584,252.8758114148029
CHN,China,2023-05-01,2023,5,31.755,401.2445146894636,108.467681884766,208.4480735343341
CHN,China,2023-06-01,2023,6,29.795,341.8180541810245,110.528945922852,219.5210144275807
CHN,China,2023-07-01,2023,7,29.742,326.6756969429871,107.448783874512,189.4971118311592
CHN,China,2023-08-01,2023,8,30.795,399.9657181666479,101.141181945801,173.0377768956178
CHN,China,2023-09-01,2023,9,33.707,304.6888954435193,98.6348114013672,198.0079907004415
CHN,China,2023-10-01,2023,10,34.352,412.3024007899803,197.887008666992,188.2244340806943
CHN,China,2023-11-01,2023,11,31.525,432.7854105225091,156.696136474609,205.6600161480332
CHN,China,2023-12-01,2023,12,27.21,414.8548514305776,142.27946472168,219.8645370938973
CHN,China,2024-01-01,2024,1,28.243,359.7361661482672,160.373657226563,236.3134092287262
CHN,China,2024-02-01,2024,2,27.92,298.9911242338959,146.598175048828,165.1320054734749
